,3sigma,2sigma,1sigma
BHIP,1.1952191235059761,2.788844621513944,27.091633466135455
BRIO,0.398406374501992,5.179282868525896,30.278884462151396
CADO,0.0,3.9840637450199203,33.86454183266932
CAPX,0.796812749003984,3.5856573705179287,32.669322709163346
CARC,0.796812749003984,4.780876494023905,26.693227091633464
CELU,0.398406374501992,3.9840637450199203,29.482071713147413
DYCA,0.398406374501992,3.9840637450199203,31.07569721115538
FIPL,0.0,5.179282868525896,31.47410358565737
GARO,0.398406374501992,4.382470119521913,33.86454183266932
GCLA,1.1952191235059761,6.374501992031872,30.677290836653388
GRIM,1.1952191235059761,4.780876494023905,29.08366533864542
INDU,0.796812749003984,2.788844621513944,31.07569721115538
IRSA,0.398406374501992,4.382470119521913,31.07569721115538
LEDE,0.398406374501992,4.382470119521913,29.08366533864542
LONG,0.0,6.374501992031872,32.27091633466135
METR,0.796812749003984,4.382470119521913,31.07569721115538
MOLI,0.398406374501992,5.179282868525896,30.677290836653388
PATA,0.398406374501992,1.1952191235059761,6.772908366533864
PATY,0.0,4.780876494023905,33.86454183266932
PESA,0.0,5.9760956175298805,30.677290836653388
POLL,0.398406374501992,3.187250996015936,31.872509960159363
PSUR,0.796812749003984,2.788844621513944,24.701195219123505
RIGO,0.0,4.780876494023905,33.067729083665334
ROSE,0.0,5.577689243027888,33.46613545816733
SEMI,0.0,4.382470119521913,32.27091633466135
STD,100.0,100.0,100.0
TEF,0.0,3.9840637450199203,33.067729083665334
AGRO,0.398406374501992,5.577689243027888,28.68525896414343
ALUA,0.398406374501992,3.9840637450199203,31.872509960159363
APBR,0.398406374501992,4.382470119521913,27.88844621513944
BMA,0.398406374501992,5.179282868525896,31.872509960159363
CECO2,0.398406374501992,4.780876494023905,27.490039840637447
COME,0.796812749003984,5.577689243027888,28.68525896414343
CRES,1.593625498007968,5.179282868525896,28.68525896414343
EDN,0.796812749003984,5.179282868525896,28.286852589641438
ERAR,0.398406374501992,3.187250996015936,31.872509960159363
FRAN,0.796812749003984,5.179282868525896,29.880478087649404
GGAL,0.796812749003984,4.780876494023905,31.872509960159363
JMIN,0.0,4.780876494023905,32.27091633466135
MIRG,0.796812749003984,3.5856573705179287,29.08366533864542
PAMP,2.3904382470119523,6.374501992031872,17.52988047808765
SAMI,0.398406374501992,5.179282868525896,31.07569721115538
TECO2,0.398406374501992,5.577689243027888,31.07569721115538
TGNO4,0.398406374501992,2.788844621513944,28.286852589641438
TGSU2,0.0,6.772908366533864,29.08366533864542
TRAN,0.398406374501992,2.3904382470119523,28.286852589641438
TS,0.796812749003984,4.780876494023905,31.47410358565737
YPFD,0.398406374501992,3.9840637450199203,31.872509960159363
