,3sigma,2sigma,1sigma
BHIP,3.187250996015936,5.577689243027888,23.904382470119522
BRIO,1.593625498007968,4.780876494023905,23.107569721115535
CADO,0.796812749003984,8.764940239043826,32.669322709163346
CAPX,0.796812749003984,4.382470119521913,26.294820717131472
CARC,1.9920318725099602,4.780876494023905,19.12350597609562
CELU,3.9840637450199203,13.94422310756972,54.980079681274894
DYCA,26.294820717131472,74.9003984063745,96.81274900398407
FIPL,1.593625498007968,7.968127490039841,34.66135458167331
GARO,0.796812749003984,5.179282868525896,26.294820717131472
GCLA,2.3904382470119523,10.358565737051793,33.86454183266932
GRIM,1.593625498007968,4.382470119521913,32.27091633466135
INDU,7.171314741035857,24.701195219123505,73.30677290836654
IRSA,3.5856573705179287,8.764940239043826,41.43426294820717
LEDE,2.788844621513944,10.756972111553784,43.02788844621514
LONG,0.398406374501992,6.374501992031872,32.669322709163346
METR,2.3904382470119523,14.741035856573706,58.56573705179283
MOLI,2.3904382470119523,6.374501992031872,27.88844621513944
PATA,0.398406374501992,0.398406374501992,1.593625498007968
PATY,1.593625498007968,4.382470119521913,23.107569721115535
PESA,1.9920318725099602,6.374501992031872,30.677290836653388
POLL,2.788844621513944,14.342629482071715,59.76095617529881
PSUR,1.9920318725099602,3.5856573705179287,7.968127490039841
RIGO,6.772908366533864,22.709163346613543,63.745019920318725
ROSE,2.3904382470119523,12.350597609561753,47.808764940239044
SEMI,3.9840637450199203,7.171314741035857,27.091633466135455
STD,100.0,100.0,100.0
TEF,4.780876494023905,10.756972111553784,44.223107569721115
AGRO,6.374501992031872,23.904382470119522,64.5418326693227
ALUA,5.577689243027888,15.53784860557769,43.82470119521912
APBR,13.545816733067728,25.49800796812749,64.14342629482071
BMA,7.171314741035857,18.326693227091635,70.91633466135458
CECO2,16.733067729083665,52.191235059760956,94.02390438247012
COME,1.1952191235059761,5.179282868525896,23.107569721115535
CRES,3.5856573705179287,7.968127490039841,27.091633466135455
EDN,5.577689243027888,26.693227091633464,69.7211155378486
ERAR,2.3904382470119523,9.163346613545817,29.08366533864542
FRAN,9.9601593625498,28.68525896414343,75.69721115537848
GGAL,5.577689243027888,18.725099601593627,47.01195219123506
JMIN,4.780876494023905,19.12350597609562,46.613545816733065
MIRG,2.788844621513944,10.358565737051793,33.86454183266932
PAMP,3.5856573705179287,7.968127490039841,20.717131474103585
SAMI,1.593625498007968,5.179282868525896,25.89641434262948
TECO2,5.9760956175298805,14.741035856573706,45.41832669322709
TGNO4,2.788844621513944,4.382470119521913,13.147410358565736
TGSU2,8.764940239043826,32.27091633466135,76.89243027888446
TRAN,10.358565737051793,27.88844621513944,76.89243027888446
TS,3.5856573705179287,15.53784860557769,45.0199203187251
YPFD,3.9840637450199203,8.764940239043826,35.0597609561753
